문제,정답,해설
경합범의 처벌에 관한 ｢형법｣ 제38조 제1항 제3호에 의하여 징역형과 벌금형을 병과하는 경우에 징역형에만 작량감경을 하고 벌금형에는 작량감경을 하지 않는 것은 위법하다.,X,형법 제38조 제1항 제3호에 의하여 징역형과 벌금형을 병과하는 경우에는 각 형에 대한 범죄의 정상에 차이가 있을 수 있으므로 징역형에만 작량감경을 하고 벌금형에는 작량감경을 하지 아니하였다고 하여 이를 위법하다고 할 수 없다(2006도1076).
"2020. 7. 1. 무고죄로 징역 1년에 집행유예 2년을 선고받고 그 판결이 같은 달 9. 확정된 甲이 2021. 6. 1. 상습도박죄를 범하여 같은 해 11. 1. 유죄판결을 선고받는 경우, 법원은 甲에게 상습도박죄에 대한 집행유예는 선고할 수 없다.",O,"집행유예 기간 중에 범한 죄에 대하여 형을 선고할 때에, 집행유예의 결격사유를 정하는 형법 제62조 제1항 단서 소정의 요건에 해당하는 경우란, 이미 집행유예가 실효 또는 취소된 경우와 그 선고 시점에 미처 유예기간이 경과하지 아니하여 형 선고의 효력이 실효되지 아니한 채로 남아 있는 경우로 국한되고, 집행유예가 실효 또는 취소됨이 없이 유예기간을 경과한 때에는, 형의 선고가 이미 그 효력을 잃게 되어 ‘금고 이상의 형을 선고’한 경우에 해당한다고 보기 어려울 뿐 아니라, 집행의 가능성이 더 이상 존재하지 아니하여 집행종료나 집행면제의 개념도 상정하기 어려우므로 위 단서 소정의 요건에 해당하지 않는다고 할 것이므로, 집행유예 기간 중에 범한 범죄라고 할지라도 집행유예가 실효 취소됨이 없이 그 유예기간이 경과한 경우에는 이에 대해 다시 집행유예의 선고가 가능하다(2006도6196)."
몰수에 관한 ｢형법｣ 제48조 제1항의 ‘범인’에는 공범자도 포함되므로 피고인의 소유물은 물론 공범자의 소유물도 그 공범자의 소추 여부를 불문하고 몰수할 수 있다.,O,2006도5586.
사기도박에 참여하도록 유인하기 위하여 고액의 수표를 제시해 보인 경우라도 그 수표가 직접적으로 도박자금으로 사용되지 않았다면 몰수할 수 없다.,X,"피해자로 하여금 사기도박에 참여하도록 유인하기 위하여 고액의 수표를 제시해 보인 경우, 형법 제48조 소정의 몰수가 임의적 몰수에 불과하여 법관의 자유재량에 맡겨져 있고, 위 수표가 직접적으로 도박자금으로 사용되지 아니하였다 할지라도, 위 수표가 피해자로 하여금 사기도박에 참여하도록 만들기 위한 수단으로 사용된 이상, 이를 몰수할 수 있고, 그렇다고 하여 피고인에게 극히 가혹한 결과가 된다고 볼 수는 없다고 한 사례(2002도3589)."
강도상해의 범행에 대하여 자수한 사안에서 법원이 자수감경을 하지 않았거나 자수감경 주장에 대한 판단을 하지 않았다고 해도 위법하다고 할 수 없다.,O,피고인이 자수하였다 하더라도 자수한 이에 대하여는 법원이 임의로 형을 감경할 수 있음에 불과한 것으로서 원심이 자수감경을 하지 아니하였다거나 자수감경 주장에 대하여 판단을 하지 아니하였다 하여 위법하다고 할 수 없다(2011도12041).
특수강간이 미수에 그쳤다 하더라도 그로 인하여 피해자가 상해를 입었다면 ｢성폭력범죄의 처벌 등에 관한 특례법｣에 의한 특수강간치상죄의 기수가 성립한다.,O,
강도가 재물강취의 뜻을 재물의 부재로 이루지 못한 채 미수에 그쳤으나 그 자리에서 항거불능의 상태에 빠진 피해자를 간음할 것을 결의하고 실행에 착수했으나 역시 미수에 그쳤더라도 반항을 억압하기 위한 폭행으로 피해자에게 상해를 입힌 경우에는 강도강간미수죄와 강도치상죄의 실체적 경합범이 성립한다.,X,강도강간미수죄와 강도치상죄가 성립되고 이는 1개의 행위가 2개의 죄명에 해당되어 상상적 경합관계가 성립된다(88도820).
"재물을 강취한 후 피해자를 살해할 목적으로 현주건조물에 방화하여 사망에 이르게 한 경우, 강도살인죄와 현주건조물방화치사죄에 해당하고 그 두 죄는 상상적 경합관계에 있다.",O,"형법 제338조(강도살인ㆍ치사) 강도가 사람을 살해한 때에는 ""사형 또는 무기징역""에 처한다. (후략)
 제164조(현주건조물 등 방화) ① 불을 놓아 사람이 주거로 사용하거나 사람이 현존하는 건조물, 기차, 전차, 자동차, 선박, 항공기 또는 지하채굴시설을 불태운 자는 무기 또는 3년 이상의 징역에 처한다.
 ② 제1항의 죄를 지어 사람을 상해에 이르게 한 경우에는 무기 또는 5년 이상의 징역에 처한다. 사망에 이르게 한 경우에는 ""사형, 무기 또는 7년 이상의 징역""에 처한다."
"수뢰후부정처사죄는 반드시 뇌물수수 등의 행위가 완료된 이후에 부정한 행위가 이루어져야 함을 의미하는 것은 아니고, 결합범 또는 결과적가중범 등에서의 기본행위와 마찬가지로 뇌물수수 등의 행위를 하는 중에 부정한 행위를 한 경우도 포함한다.",O,"수뢰후부정처사죄를 정한 형법 제131조 제1항은 공무원 또는 중재인이 형법 제129조(수뢰, 사전수뢰) 및 제130조(제3자뇌물제공)의 죄를 범하여 부정한 행위를 하는 것을 구성요건으로 하고 있다. 여기에서 ‘형법 제129조 및 제130조의 죄를 범하여’란 반드시 뇌물수수 등의 행위가 완료된 이후에 부정한 행위가 이루어져야 함을 의미하는 것은 아니고, 결합범 또는 결과적 가중범 등에서의 기본행위와 마찬가지로 뇌물수수 등의 행위를 하는 중에 부정한 행위를 한 경우도 포함하는 것으로 보아야 한다. 따라서 단일하고도 계속된 범의 아래 일정 기간 반복하여 일련의 뇌물수수 행위와 부정한 행위가 행하여졌고 그 뇌물수수 행위와 부정한 행위 사이에 인과관계가 인정되며 피해법익도 동일하다면, 최후의 부정한 행위 이후에 저질러진 뇌물수수 행위도 최후의 부정한 행위 이전의 뇌물수수 행위 및 부정한 행위와 함께 수뢰후부정처사죄의 포괄일죄로 처벌함이 타당하다(2020도12103)."
무고죄의 구성요건요소인 ‘형사처분 또는 징계처분을 받게 할 목적’은 미필적 인식으로 족하고 결과발생을 희망하는 것까지 요하는 것은 아니다.,O,
"상해의 고의로 행한 구타행위로 상해를 입은 피해자가 정신을 잃고 빈사상태에 빠지자 사망한 것으로 오인하고, 자신의 행위를 은폐하고 피해자가 자살한 것처럼 가장하기 위해 피해자를 호텔 베란다 밖으로 떨어뜨려 사망하게 하였다면, 상해죄와 과실치사죄의 경합범이 된다.",X,상해치사죄에 해당한다.
"주치의 甲은 경력 7년의 책임간호사 乙에게 종전 처방과 같이 환자 A에게 별다른 부작용이 없었던 소염제･항생제 등을 대퇴부 정맥에 연결된 튜브를 통하여 투여할 것을 지시하였는데 甲의 예견과는 달리 乙이 간호실습생 丙에게 단독으로 정맥주사를 하게 하였고 丙이 대퇴부 정맥튜브와 뇌실외배액관을 착오하여 뇌실외배액관에 주사액을 주입함으로써 A가 사망한 경우, 甲에게 현장에 입회하여 乙의 주사행위를 감독할 업무상 주의의무가 있다고 볼 수 없다.",O,"간호사가 '진료의 보조'를 함에 있어서는 모든 행위 하나하나마다 항상 의사가 현장에 입회하여 일일이 지도·감독하여야 한다고 할 수는 없고, 경우에 따라서는 의사가 진료의 보조행위 현장에 입회할 필요 없이 일반적인 지도·감독을 하는 것으로 족한 경우도 있을 수 있다 할 것인데, 여기에 해당하는 보조행위인지 여부는 보조행위의 유형에 따라 일률적으로 결정할 수는 없고 구체적인 경우에 있어서 그 행위의 객관적인 특성상 위험이 따르거나 부작용 혹은 후유증이 있을 수 있는지, 당시의 환자 상태가 어떠한지, 간호사의 자질과 숙련도는 어느 정도인지 등의 여러 사정을 참작하여 개별적으로 결정하여야 한다.
 간호사가 의사의 처방에 의한 정맥주사(Side Injection 방식)를 의사의 입회 없이 간호실습생(간호학과 대학생)에게 실시하도록 하여 발생한 의료사고에 대한 의사의 과실을 부정한 사례(2001도3667)."
"甲이 A, B, C 등 3명과 싸우다가 힘이 달리자 갑자기 인근 가게에서 식칼을 가지고 와 상해의 고의로 이들 3명을 상대로 휘두르다가 빗나가 옆에 있던 D에게 상해를 입혔다면 甲에게 D의 상해에 대한 고의가 인정된다.",O,
살인의 실행행위가 피해자의 사망이라는 결과를 발생하게 한 유일한 원인이거나 직접적인 원인이어야만 되는 것은 아니므로 통상 예견할 수 있는 다른 사실이 개재되어 그 사실이 사망의 직접적인 원인이 되었다고 하더라도 실행행위와 피해자의 사망 사이에 인과관계는 인정된다.,O,
정신적 장애가 있는 자라고 하여도 범행 당시 정상적인 사물변별능력이나 행위통제능력이 있었다면 심신장애자로 볼 수 없다.,O,
심신상실을 이유로 처벌받지 아니하거나 심신미약을 이유로 형벌이 감경될 수 있는 자라 할지라도 금고 이상의 형에 해당하는 죄를 지은 자에 대해서는 치료감호시설에서 치료를 받을 필요가 있고 재범의 위험성이 있는 경우 치료감호의 대상이 된다.,O,"치료감호 등에 관한 법률 제2조(치료감호대상자) ① 이 법에서 “치료감호대상자”란 다음 각 호의 어느 하나에 해당하는 자로서 치료감호시설에서 치료를 받을 필요가 있고 재범의 위험성이 있는 자를 말한다.
 1. 「형법」 제10조제1항에 따라 벌하지 아니하거나 같은 조 제2항에 따라 형을 감경할 수 있는 심신장애인으로서 금고 이상의 형에 해당하는 죄를 지은 자"
｢소년법｣ 제60조 제2항은 ‘소년의 특성에 비추어 상당하다고 인정되는 때에는 그 형을 감경할 수 있다’고 규정하고 있는데 여기에서의 ‘소년’에 해당하는지 여부의 판단은 원칙적으로 범죄행위시가 아니라 사실심 판결선고시를 기준으로 한다.,O,"소년법 제60조 제2항에서는 소년이라 함은 특별한 정함이 없는 한 소년법 제2조에서 말하는 소년을 의미한다고 할 것인데, 소년법 제2조에서의 소년이라 함은 [19]세미만자로서, [19]세미만 자라는 것이 심판의 조건이므로 범행시뿐만 아니라 심판시까지 계속되어야 한다고 보아야 하며, 이는 소년법 제38조 제1항의 규정에 비추어 보아도 명백할 뿐만 아니라, 소년법은 원심이 거시한 바와 같은 소년의 특성 때문에 현재 소년이라는 상태를 중시하여 소년의 건전한 육성을 기하려는 것이고 소년법 제60조 제2항도 이러한 취지에서 나왔다고 볼 것이지, 원심과 같이 소년법 제60조 제2항이 형법 제9조와 같이 연령을 책임요소로 파악한 데서 나왔다거나 위와 같은 소년의 특성을 책임의 문제로서 파악하여야만 하는 것은 아니라 할 것이므로, 소년법 제60조 제2항의 소년인지 여부의 판단은 원칙으로 심판시 즉 사실심 판결선고시를 기준으로 한다고 보아야 한다(91도2393)."
원인에 있어서 자유로운 행위의 가벌성 근거와 관련하여 예외모델은 원인설정행위를 실행행위라고 이해하므로 실행행위의 정형성에 반한다는 비판을 받는다.,X,구성요건모델에 대한 설명이다.
｢형법｣ 제12조의 강요된 행위에서 ‘저항할 수 없는 폭력’이란 심리적 의미에 있어서 육체적으로 어떤 행위를 절대적으로 하지 아니할 수 없게 하는 경우와 윤리적 의미에 있어서 강압된 경우를 말한다.,O,
"甲이 A회사의 전문건설업등록증 등의 이미지 파일을 위조하여 공사 수주에 사용하기 위해 발주업체 직원 B에게 이메일로 송부하여 위조 사실을 모르는 B로 하여금 위 이미지 파일을 출력하게 한 경우, 간접정범을 통한 위조문서행사 범행의 피이용자인 B는 甲과 동일시할 수 있는 자와 마찬가지이므로 甲에게는 위조문서행사죄의 간접정범이 성립하지 아니한다.",X,"위조문서행사죄에 있어서 행사는 위조된 문서를 진정한 것으로 사용함으로써 문서에 대한 공공의 신용을 해칠 우려가 있는 행위를 말하므로 그 행사의 상대방에는 아무런 제한이 없고, 다만 문서가 위조된 것임을 이미 알고 있는 공범자 등에게 행사하는 경우에는 위조문서행사죄가 성립할 수 없으나(대법원 2005. 1. 28. 선고 2004도4663 판결 참조), 간접정범을 통한 위조문서행사범행에 있어 도구로 이용된 자라고 하더라고 문서가 위조된 것임을 알지 못하는 자에게 행사한 경우에는 위조문서행사죄가 성립한다(2011도14441)."
甲이 A에 대한 사기범행을 실현하는 수단으로서 B를 기망하여 B를 A로부터 편취한 재물이나 재산상 이익을 전달하는 도구로서만 이용한 경우에는 편취의 대상인 재물 또는 재산상 이익에 관하여 A에 대한 사기죄가 성립할 뿐 도구로 이용된 B에 대한 사기죄가 별도로 성립하는 것은 아니다.,O,
타인을 비방할 목적으로 허위의 기사 재료를 그 정을 모르는 기자에게 제공하여 신문 등에 보도하게 한 경우 출판물에의한명예훼손죄의 간접정범이 성립할 수 있다.,O,
강제추행에 관한 간접정범의 의사를 실현하는 도구로서의 타인에는 피해자도 포함될 수 있으므로 피해자를 도구로 삼아 피해자의 신체를 이용하여 추행행위를 한 경우에도 강제추행죄의 간접정범에 해당할 수 있다.,O,
주거침입죄는 사실상의 주거의 평온을 보호법익으로 하는 것이므로 그 거주자 또는 관리자가 건조물 등에 거주 또는 관리할 권한을 가지고 있는가 여부는 범죄의 성립을 좌우하는 것이 아니다.,O,
다가구용 단독주택이나 아파트 등 공동주택 안에서 공용으로 사용하는 계단과 복도는 특별한 사정이 없는 한 주거침입죄의 객체인 ‘사람의 주거’에 해당한다.,O,
｢특정범죄 가중처벌 등에 관한 법률｣ 제5조의4 제6항에 규정된 상습절도 등 죄를 범한 범인이 그 범행의 수단으로 주거침입을 한 경우에 주거침입행위는 상습절도 등 죄에 흡수되어 위 조문에 규정된 상습절도 등 죄의 1죄만이 성립하고 별개로 주거침입죄를 구성하지 않는다.,O,"특정범죄 가중처벌 등에 관한 법률 제5조의4 제6항에 규정된 상습절도 등 죄를 범한 범인이 그 범행의 수단으로 주거침입을 한 경우에 주거침입행위는 상습절도 등 죄에 흡수되어 위 조문에 규정된 상습절도 등 죄의 1죄만이 성립하고 별개로 주거침입죄를 구성하지 않으며, 또 위 상습절도 등 죄를 범한 범인이 그 범행 외에 상습적인 절도의 목적으로 주거침입을 하였다가 절도에 이르지 아니하고 주거침입에 그친 경우에도 그것이 절도상습성의 발현이라고 보이는 이상 주거침입행위는 다른 상습절도 등 죄에 흡수되어 위 조문에 규정된 상습절도 등 죄의 1죄만을 구성하고 상습절도 등 죄와 별개로 주거침입죄를 구성하지 않는다(2017도4044)."
"주거침입죄의 객체는 건조물 그 자체뿐만 아니라 그에 부속하는 위요지를 포함하나, 건조물의 이용에 기여하는 인접의 부속 토지가 인적 또는 물적 설비 등에 의한 구획 내지 통제가 없어 통상의 보행으로 그 경계를 쉽사리 넘을 수 있는 정도라면 특별한 사정이 없는 한 위요지에 해당하지 않는다.",O,
정당한 퇴거요구를 받고 열쇠를 반환한 다음 건물에서 퇴거하였더라도 건물에 가재도구 등을 남겨 두었다면 퇴거불응죄에 해당한다.,X,"주거침입죄와 퇴거불응죄는 모두 사실상의 주거의 평온을 그 보호법익으로 하고, 주거침입죄에서의 침입이 신체적 침해로서 행위자의 신체가 주거에 들어가야 함을 의미하는 것과 마찬가지로 퇴거불응죄의 퇴거 역시 행위자의 신체가 주거에서 나감을 의미하므로, 피고인이 이 사건 건물에 가재도구 등을 남겨두었다는 사정은 퇴거불응죄의 성부에 영향이 없고(2007도6990)..."
"甲이 노상에 세워 놓은 자동차 안에 있는 물건을 훔칠 생각으로 면장갑을 끼고 칼을 소지한 채 자동차의 유리창을 통하여 그 내부를 손전등으로 비추어 본 경우, 甲의 행위는 미수범에 해당한다.",X,노상에 세워 놓은 자동차안에 있는 물건을 훔칠 생각으로 자동차의 유리창을 통하여 그 내부를 손전등으로 비추어 본 것에 불과하다면 비록 유리창을 따기 위해 면장갑을 끼고 있었고 칼을 소지하고 있었다 하더라도 절도의 예비행위로 볼 수는 있겠으나 타인의 재물에 대한 지배를 침해하는데 밀접한 행위를 한 것이라고는 볼 수 없어 절취행위의 착수에 이른 것이었다고 볼 수 없다(85도464).
"甲이 A의 재물을 절취하려고 준비한 가방에 A의 재물을 담던 중 A에게 발각되자 체포를 면탈할 목적으로 A를 폭행하고 가방을 그대로 둔 채 도망간 경우, 甲의 행위는 미수범에 해당한다.",O,준강도미수죄가 성립한다.
