문제,정답,해설
"제3자뇌물수수죄의 제3자란 행위자와 공동정범자 이외의 사람을 말하는 것이므로, 공무원이 자신이 실질적으로 장악하고 있는 A회사 명의의 계좌로 뇌물을 받은 경우 제3자뇌물수수죄가 성립한다.",X,"공무원이 직접 뇌물을 받지 아니하고 증뢰자로 하여금 다른 사람에게 뇌물을 공여하도록 한 경우, 그 다른 사람이 공무원의 사자 또는 대리인으로서 뇌물을 받은 경우나 그 밖에 예컨대, 평소 공무원이 그 다른 사람의 생활비 등을 부담하고 있었다거나 혹은 그 다른 사람에 대하여 채무를 부담하고 있었다는 등의 사정이 있어서 그 다른 사람이 뇌물을 받음으로써 공무원은 그만큼 지출을 면하게 되는 경우 등 사회통념상 그 다른 사람이 뇌물을 받은 것을 공무원이 직접 받은 것과 같이 평가할 수 있는 관계가 있는 경우에는 형법 제130조의 제3자 뇌물제공죄가 아니라, 형법 제129조 제1항의 뇌물수수죄가 성립한다.
 공무원이 실질적인 경영자로 있는 회사가 청탁 명목의 금원을 회사 명의의 예금계좌로 송금받은 경우에 뇌물수수죄가 성립한다고 한 사례(2003도8077)."
뇌물을 수수함에 있어서 공여자를 기망한 경우 뇌물을 수수한 공무원에 대하여는 뇌물죄와 사기죄가 성립하는바 보호법익을 달리하는 양 죄는 실체적 경합범으로 처단하여야 한다.,X,"뇌물을 수수함에 있어서 공여자를 기망한 점이 있다 하여도 뇌물수수죄, 뇌물공여죄의 성립에는 영향이 없고, 이 경우 뇌물을 수수한 공무원에 대하여는 한 개의 행위가 뇌물죄와 사기죄의 각 구성요건에 해당하므로 형법 제40조에 의하여 상상적 경합으로 처단하여야 할 것이다(2015도12838)."
"뇌물에 공할 금품에 대한 몰수는 특정된 물건에 대한 것이고 ｢형법｣ 제134조 단서는 이를 몰수할 수 없을 경우에는 그 가액을 추징하도록 규정하고 있는바, 뇌물에 공할 금품이 특정되지 않은 경우에는 그 가액을 추징하여야 한다.",X,"형법 제134조는 뇌물에 공할 금품을 필요적으로 몰수하고 이를 몰수하기 불가능한 때에는 그 가액을 추징하도록 규정하고 있는바, 몰수는 특정된 물건에 대한 것이고 추징은 본래 몰수할 수 있었음을 전제로 하는 것임에 비추어 뇌물에 공할 금품이 특정되지 않았던 것은 몰수할 수 없고 그 가액을 추징할 수도 없다(96도221)."
"甲이 공무원 A에게 뇌물공여의 의사표시를 하였다가 거절된 후 상당한 기간이 지난 뒤에 다시 A에게 별개의 행위로 평가될 수 있는 다른 명목으로 뇌물을 제공하여 A가 이를 수수한 경우, 甲의 전자의 뇌물공여의사표시죄는 후자의 뇌물공여죄에 흡수된다.",X,
"살의를 가지고 피해자를 구타하여 (ⓐ행위) 피해자가 정신을 잃고 축 늘어지자 죽은 것으로 오인하고 증거를 인멸할 목적으로 피해자를 모래에 파묻었는데 (ⓑ행위) 피해자는 ⓑ행위로 사망한 것이 판명된 경우, 사망의 직접 원인은 ⓑ행위이므로 살인미수죄가 성립한다.",X,
"행위자의 행위가 긴급피난에 해당하기 위해서는 긴급피난상황에 대한 인식만 있으면 족하며, 위난을 피하고자 하는 의사까지 필요한 것은 아니다.",X,
"모해의 목적을 가지고 모해의 목적을 가지지 않은 사람을 교사하여 위증하게 한 경우, 공범종속성에 따라 모해위증교사죄가 아니라 위증교사죄가 성립한다.",X,
증인이 착오에 빠져 자신의 기억에 반한다는 인식 없이 객관적 사실에 반하는 내용의 증언을 한 경우에 위증의 범의를 인정할 수 있다.,X,
"물품대금 청구소송 중인 거래회사로부터 우연히 착오송금을 받은 행위자가 물품대금에 대한 적법한 상계권을 행사한다는 의사로 착오송금된 금원의 반환을 거부한 경우, 횡령죄 요건인 불법영득의사의 성립을 부정할 수 있다.",O,
지입회사에 소유권이 있는 차량에 대하여 지입회사로부터 운행관리권을 위임받은 지입차주 甲이 지입회사의 승낙 없이 보관 중인 차량을 사실상 처분하더라도 법률상 처분권한이 없기 때문에 횡령죄가 성립하지 않는다.,X,
甲이 피해자 경영의 금은방에서 마치 귀금속을 구입할 것처럼 가장하여 피해자로부터 금목걸이를 건네받은 다음 화장실에 갔다 오겠다는 핑계를 대고 도주한 행위는 절도죄에 해당한다.,O,피고인이 피해자 경영의 금방에서 마치 귀금속을 구입할 것처럼 가장하여 피해자로부터 순금목걸이 등을 건네받은 다음 화장실에 갔다 오겠다는 핑계를 대고 도주한 것이라면 위 순금목걸이 등은 도주하기 전까지는 아직 피해자의 점유하에 있었다고 할 것이므로 이를 절도죄로 의율 처단한 것은 정당하다(94도1487).
"甲이 토지의 소유자이자 매도인 A에게 토지거래허가 등에 필요한 서류라고 속여 근저당권설정계약서 등에 서명·날인하게 하고 인감증명서를 교부받은 다음, 이를 이용하여 A 소유 토지에 甲을 채무자로 한 근저당권을 B에게 설정하여 주고 돈을 차용한 경우에도 A의 처분의사가 인정되므로 사기죄에 해당한다.",O,
"甲이 A에게 자신의 자동차를 양도담보로 제공하기로 약정한 후 B에게 임의로 매도하고 B 명의로 이전등록을 해 준 경우, 등록을 요하는 재산인 자동차 등에 관하여 양도담보설정계약을 체결한 채무자는 채권자에 대하여 그의 사무를 처리하는 지위가 인정되어 그 임무에 위배하여 이를 타에 처분하였다면 배임죄가 성립한다.",X,
甲이 권리자의 착오나 가상자산 운영 시스템의 오류 등으로 법률상 원인관계 없이 자신의 전자지갑에 이체된 가상자산을 반환하지 않고 자신의 또 다른 전자지갑에 이체하였다면 착오송금의 법리가 적용되어 배임죄가 성립한다.,X,
침입 대상인 아파트에 사람이 있는지를 확인하기 위해 그 집의 초인종을 누른 행위만으로도 주거침입죄의 실행에 착수한 것으로 보아야 한다.,X,"주거침입죄의 실행의 착수는 주거자, 관리자, 점유자 등의 의사에 반하여 주거나 관리하는 건조물 등에 들어가는 행위, 즉 구성요건의 일부를 실현하는 행위까지 요구하는 것은 아니고 범죄구성요건의 실현에 이르는 현실적 위험성을 포함하는 행위를 개시하는 것으로 족하다고 할 것이나(대법원 2003. 10. 24. 선고 2003도4417 판결, 대법원 2006. 9. 14. 선고 2006도2824 판결 등 참조), 침입 대상인 아파트에 사람이 있는지를 확인하기 위해 그 집의 초인종을 누른 행위만으로는 침입의 현실적 위험성을 포함하는 행위를 시작하였다거나, 주거의 사실상의 평온을 침해할 객관적인 위험성을 포함하는 행위를 한 것으로 볼 수 없다 할 것이다(2008도1464)."
건조물의 이용에 기여하는 인접의 부속 토지에 해당한다면 그 토지가 인적 또는 물적 설비 등에 의하여 구획 또는 통제되지 않아 통상의 보행으로 그 경계를 쉽사리 넘을 수 있는 정도라고 하더라도 건조물침입죄의 객체에 해당한다.,X,
"甲이 수개월 전 헤어진 연인인 A를 폭행하기 위하여 A가 사는 오피스텔 공동현관의 출입문에 교제 당시 알게 된 비밀번호를 눌러 들어간 후 엘리베이터를 타고 A의 집 현관문 앞으로 이동해 침입하려다 실패하여 도주한 경우, 알고 있던 공동현관 비밀번호를 입력하여 출입한 이상 공용부분에 대한 주거침입을 인정할 여지는 없다.",X,
