문제,정답,해설
"법률의 벌칙규정의 적용대상자가 일정한 ‘업무주’로 한정되어 있는 경우, 업무주가 아니면서 그 업무를 실제로 집행하는 자가 그 벌칙규정의 위반행위를 하였다면, 그 집행하는 자는 그 벌칙규정을 적용대상으로 하고 있는 ‘양벌규정’에 의해 처벌될 수 있다.",O,"구 건축법(1991. 5. 31. 법률 제4381호로 전문 개정되기 전의 것) 제54조 내지 제56조의 벌칙규정에서 그 적용대상자를 건축주, 공사감리자, 공사시공자 등 일정한 업무주(業務主)로 한정한 경우에 있어서, 같은 법 제57조의 양벌규정은 업무주가 아니면서 당해 업무를 실제로 집행하는 자가 있는 때에 위 벌칙규정의 실효성을 확보하기 위하여 그 적용대상자를 당해 업무를 실제로 집행하는 자에게까지 확장함으로써 그러한 자가 당해 업무집행과 관련하여 위 벌칙규정의 위반행위를 한 경우 위 양벌규정에 의하여 처벌할 수 있도록 한 행위자의 처벌규정임과 동시에 그 위반행위의 이익귀속주체인 업무주에 대한 처벌규정이라고 할 것이다(95도2870)."
회사 대표자의 위반행위에 대하여 징역형의 형량을 작량감경하고 병과하는 벌금형에 대하여 선고유예를 한 이상 양벌규정에 따라 그 회사를 처단함에 있어서도 같은 조치를 취하여야 한다.,X,회사 대표자의 위반행위에 대하여 징역형의 형량을 작량감경하고 병과하는 벌금형에 대하여 선고유예를 한 이상 양벌규정에 따라 그 회사를 처단함에 있어서도 같은 조치를 취하여야 한다는 논지는 독자적인 견해에 지나지 아니하여 받아들일 수 없다(95도1893).
중지범은 범죄의 실행에 착수한 후 자의로 그 행위를 중지한 때를 말하는 것이므로 실행의 착수가 있기 전인 예비의 중지범은 인정할 수 없다.,O,
"공동정범 중 1인의 자의에 의한 실행중지만으로는 그의 중지미수를 인정할 수 없으며, 공동정범 전원의 실행행위를 중지시키거나 모든 결과발생을 완전히 방지한 때 공동정범 전체의 중지미수가 인정된다.",X,"공동정범 전원의 실행행위를 중지시키거나 모든 결과발생을 완전히 방지한 자는 중지미수가 되지만, 그렇지 않은 자는 장애미수가 된다."
"정범이 예비단계에 그친 경우, 이를 방조한 자도 예비죄의 종범으로 처벌된다.",X,형법 32조 1항 소정 타인의 범죄란 정범이 범죄의 실현에 착수한 경우를 말하는 것이므로 종범이 처벌되기 위하여는 정범의 실행의 착수가 있는 경우에만 가능하고 형법 전체의 정신에 비추어 정범이 실행의 착수에 이르지 아니한 예비의 단계에 그친 경우에는 이에 가공하는 행위가 예비의 공동정범이 되는 경우를 제외하고는 종범의 성립을 부정하고 있다고 보는 것이 타당하다(75도1549).
살인예비죄가 성립하기 위하여 살인죄를 범할 목적 이외에 살인의 준비에 관한 고의가 있어야 하는 것은 아니다.,X,"형법 제255조, 제250조의 살인예비죄가 성립하기 위하여는 형법 제255조에서 명문으로 요구하는 살인죄를 범할 목적 외에도 살인의 준비에 관한 고의가 있어야 하며, 나아가 실행의 착수까지에는 이르지 아니하는 살인죄의 실현을 위한 준비행위가 있어야 한다. 여기서의 준비행위는 물적인 것에 한정되지 아니하며 특별한 정형이 있는 것도 아니지만, 단순히 범행의 의사 또는 계획만으로는 그것이 있다고 할 수 없고 객관적으로 보아서 살인죄의 실현에 실질적으로 기여할 수 있는 외적 행위를 필요로 한다(2009도7150)."
가벌적 불능미수와 불가벌적 불능범의 구별 기준인 ‘위험성’은 행위 당시에 행위자가 인식한 사정 및 일반인이 인식할 수 있었던 사정을 기초로 일반적 경험법칙에 따라 사후 판단한다.,X,불능범의 판단 기준으로서 위험성 판단은 피고인이 행위 당시에 인식한 사정을 놓고 이것이 객관적으로 일반인의 판단으로 보아 결과 발생의 가능성이 있느냐를 따져야 한다(2005도8105).
"<다음은 ｢성폭력범죄의 처벌 등에 관한 특례법｣ 제14조(카메라 등을 이용한 촬영)에 관한 설명이다. (제시된 법령을 참고하고 다툼이 있는 경우 판례에 의함)
 
 〈성폭력범죄의 처벌 등에 관한 특례법[법률 제11556호, 2012. 12. 18. 전부개정](이하 ‘구 성폭법’이라 함)〉
 제14조(카메라 등을 이용한 촬영)
 ① 카메라나 그 밖에 이와 유사한 기능을 갖춘 기계장치를 이용하여 성적 욕망 또는 수치심을 유발할 수 있는 다른 사람의 신체를 그 의사에 반하여 촬영하거나 그 촬영물을 반포·판매·임대·제공 또는 공공연하게 전시·상영한 자는 5년 이하의 징역 또는 1천만원 이하의 벌금에 처한다.
 ② 제1항의 촬영이 촬영 당시에는 촬영대상자의 의사에 반하지 아니하는 경우에도 사후에 그 의사에 반하여 촬영물을 반포·판매·임대·제공 또는 공공연하게 전시·상영한 자는 3년 이하의 징역 또는 500만원 이하의 벌금에 처한다.
 
 〈성폭력범죄의 처벌 등에 관한 특례법[법률 제17264호, 2020. 5. 19. 일부개정](이하 ‘현행 성폭법’이라 함)〉
 제14조(카메라 등을 이용한 촬영)
 ① 카메라나 그 밖에 이와 유사한 기능을 갖춘 기계장치를 이용하여 성적 욕망 또는 수치심을 유발할 수 있는 사람의 신체를 촬영대상자의 의사에 반하여 촬영한 자는 7년 이하의 징역 또는 5천만원 이하의 벌금에 처한다.
 ② 제1항에 따른 촬영물 또는 복제물(복제물의 복제물을 포함한다. 이하 이 조에서 같다)을 반포·판매·임대·제공 또는 공공연하게 전시·상영(이하 “반포등”이라 한다)한 자 또는 제1항의 촬영이 촬영 당시에는 촬영대상자의 의사에 반하지 아니한 경우(자신의 신체를 직접 촬영한 경우를 포함한다)에도 사후에 그 촬영물 또는 복제물을 촬영대상자의 의사에 반하여 반포등을 한 자는 7년 이하의 징역 또는 5천만원 이하의 벌금에 처한다.>
 甲이 A와 화상채팅 중 A가 스스로 촬영하여 전송한 A의 나체 사진을 저장한 경우, 甲의 행위가 A의 의사에 반하더라도 구 성폭법 제14조 제1항으로 처벌할 수 없다.",O,
"<다음은 ｢성폭력범죄의 처벌 등에 관한 특례법｣ 제14조(카메라 등을 이용한 촬영)에 관한 설명이다. (제시된 법령을 참고하고 다툼이 있는 경우 판례에 의함)
 
 〈성폭력범죄의 처벌 등에 관한 특례법[법률 제11556호, 2012. 12. 18. 전부개정](이하 ‘구 성폭법’이라 함)〉
 제14조(카메라 등을 이용한 촬영)
 ① 카메라나 그 밖에 이와 유사한 기능을 갖춘 기계장치를 이용하여 성적 욕망 또는 수치심을 유발할 수 있는 다른 사람의 신체를 그 의사에 반하여 촬영하거나 그 촬영물을 반포·판매·임대·제공 또는 공공연하게 전시·상영한 자는 5년 이하의 징역 또는 1천만원 이하의 벌금에 처한다.
 ② 제1항의 촬영이 촬영 당시에는 촬영대상자의 의사에 반하지 아니하는 경우에도 사후에 그 의사에 반하여 촬영물을 반포·판매·임대·제공 또는 공공연하게 전시·상영한 자는 3년 이하의 징역 또는 500만원 이하의 벌금에 처한다.
 
 〈성폭력범죄의 처벌 등에 관한 특례법[법률 제17264호, 2020. 5. 19. 일부개정](이하 ‘현행 성폭법’이라 함)〉
 제14조(카메라 등을 이용한 촬영)
 ① 카메라나 그 밖에 이와 유사한 기능을 갖춘 기계장치를 이용하여 성적 욕망 또는 수치심을 유발할 수 있는 사람의 신체를 촬영대상자의 의사에 반하여 촬영한 자는 7년 이하의 징역 또는 5천만원 이하의 벌금에 처한다.
 ② 제1항에 따른 촬영물 또는 복제물(복제물의 복제물을 포함한다. 이하 이 조에서 같다)을 반포·판매·임대·제공 또는 공공연하게 전시·상영(이하 “반포등”이라 한다)한 자 또는 제1항의 촬영이 촬영 당시에는 촬영대상자의 의사에 반하지 아니한 경우(자신의 신체를 직접 촬영한 경우를 포함한다)에도 사후에 그 촬영물 또는 복제물을 촬영대상자의 의사에 반하여 반포등을 한 자는 7년 이하의 징역 또는 5천만원 이하의 벌금에 처한다.>
 甲이 A의 동의를 얻어 A의 나체를 촬영한 후 그 영상물을 A의 의사에 반하여 반포한 행위는 구 성폭법뿐만 아니라 현행 성폭법 하에서도 제14조 제2항의 처벌대상이 된다.",O,
"<다음은 ｢성폭력범죄의 처벌 등에 관한 특례법｣ 제14조(카메라 등을 이용한 촬영)에 관한 설명이다. (제시된 법령을 참고하고 다툼이 있는 경우 판례에 의함)
 
 〈성폭력범죄의 처벌 등에 관한 특례법[법률 제11556호, 2012. 12. 18. 전부개정](이하 ‘구 성폭법’이라 함)〉
 제14조(카메라 등을 이용한 촬영)
 ① 카메라나 그 밖에 이와 유사한 기능을 갖춘 기계장치를 이용하여 성적 욕망 또는 수치심을 유발할 수 있는 다른 사람의 신체를 그 의사에 반하여 촬영하거나 그 촬영물을 반포·판매·임대·제공 또는 공공연하게 전시·상영한 자는 5년 이하의 징역 또는 1천만원 이하의 벌금에 처한다.
 ② 제1항의 촬영이 촬영 당시에는 촬영대상자의 의사에 반하지 아니하는 경우에도 사후에 그 의사에 반하여 촬영물을 반포·판매·임대·제공 또는 공공연하게 전시·상영한 자는 3년 이하의 징역 또는 500만원 이하의 벌금에 처한다.
 
 〈성폭력범죄의 처벌 등에 관한 특례법[법률 제17264호, 2020. 5. 19. 일부개정](이하 ‘현행 성폭법’이라 함)〉
 제14조(카메라 등을 이용한 촬영)
 ① 카메라나 그 밖에 이와 유사한 기능을 갖춘 기계장치를 이용하여 성적 욕망 또는 수치심을 유발할 수 있는 사람의 신체를 촬영대상자의 의사에 반하여 촬영한 자는 7년 이하의 징역 또는 5천만원 이하의 벌금에 처한다.
 ② 제1항에 따른 촬영물 또는 복제물(복제물의 복제물을 포함한다. 이하 이 조에서 같다)을 반포·판매·임대·제공 또는 공공연하게 전시·상영(이하 “반포등”이라 한다)한 자 또는 제1항의 촬영이 촬영 당시에는 촬영대상자의 의사에 반하지 아니한 경우(자신의 신체를 직접 촬영한 경우를 포함한다)에도 사후에 그 촬영물 또는 복제물을 촬영대상자의 의사에 반하여 반포등을 한 자는 7년 이하의 징역 또는 5천만원 이하의 벌금에 처한다.>
 甲이 A의 동의를 얻어 A의 나체를 촬영한 영상을 컴퓨터로 재생하면서 재생 중인 화면을 휴대전화로 다시 촬영한 다음 이를 A의 의사에 반하여 반포한 행위는 구 성폭법 제14조 제2항으로 처벌할 수 없다.",O,"성폭력범죄의 처벌 등에 관한 특례법(이하 ‘성폭력처벌법’이라 한다) 제14조 제2항은 “제1항의 촬영이 촬영 당시에는 촬영대상자의 의사에 반하지 아니하는 경우에도 사후에 그 의사에 반하여 촬영물을 반포·판매·임대·제공 또는 공공연하게 전시·상영한 자는 3년 이하의 징역 또는 500만 원 이하의 벌금에 처한다.”라고 규정하고 있다. 위 제2항은 촬영대상자의 의사에 반하지 아니하여 촬영한 촬영물을 사후에 그 의사에 반하여 반포하는 행위 등을 규율 대상으로 하면서 그 촬영의 대상과 관련해서는 ‘제1항의 촬영’이라고 규정하고 있다. 성폭력처벌법 제14조 제1항이 촬영의 대상을 ‘다른 사람의 신체’로 규정하고 있으므로, 위 제2항의 촬영물 또한 ‘다른 사람의 신체’를 촬영한 촬영물을 의미한다고 해석하여야 하는데, ‘다른 사람의 신체에 대한 촬영’의 의미를 해석할 때 위 제1항과 제2항의 경우를 달리 볼 근거가 없다. 따라서 다른 사람의 신체 그 자체를 직접 촬영한 촬영물만이 위 제2항에서 규정하고 있는 촬영물에 해당하고, 다른 사람의 신체 이미지가 담긴 영상을 촬영한 촬영물은 이에 해당하지 아니한다(2017도3443)."
"<다음은 ｢성폭력범죄의 처벌 등에 관한 특례법｣ 제14조(카메라 등을 이용한 촬영)에 관한 설명이다. (제시된 법령을 참고하고 다툼이 있는 경우 판례에 의함)
 
 〈성폭력범죄의 처벌 등에 관한 특례법[법률 제11556호, 2012. 12. 18. 전부개정](이하 ‘구 성폭법’이라 함)〉
 제14조(카메라 등을 이용한 촬영)
 ① 카메라나 그 밖에 이와 유사한 기능을 갖춘 기계장치를 이용하여 성적 욕망 또는 수치심을 유발할 수 있는 다른 사람의 신체를 그 의사에 반하여 촬영하거나 그 촬영물을 반포·판매·임대·제공 또는 공공연하게 전시·상영한 자는 5년 이하의 징역 또는 1천만원 이하의 벌금에 처한다.
 ② 제1항의 촬영이 촬영 당시에는 촬영대상자의 의사에 반하지 아니하는 경우에도 사후에 그 의사에 반하여 촬영물을 반포·판매·임대·제공 또는 공공연하게 전시·상영한 자는 3년 이하의 징역 또는 500만원 이하의 벌금에 처한다.
 
 〈성폭력범죄의 처벌 등에 관한 특례법[법률 제17264호, 2020. 5. 19. 일부개정](이하 ‘현행 성폭법’이라 함)〉
 제14조(카메라 등을 이용한 촬영)
 ① 카메라나 그 밖에 이와 유사한 기능을 갖춘 기계장치를 이용하여 성적 욕망 또는 수치심을 유발할 수 있는 사람의 신체를 촬영대상자의 의사에 반하여 촬영한 자는 7년 이하의 징역 또는 5천만원 이하의 벌금에 처한다.
 ② 제1항에 따른 촬영물 또는 복제물(복제물의 복제물을 포함한다. 이하 이 조에서 같다)을 반포·판매·임대·제공 또는 공공연하게 전시·상영(이하 “반포등”이라 한다)한 자 또는 제1항의 촬영이 촬영 당시에는 촬영대상자의 의사에 반하지 아니한 경우(자신의 신체를 직접 촬영한 경우를 포함한다)에도 사후에 그 촬영물 또는 복제물을 촬영대상자의 의사에 반하여 반포등을 한 자는 7년 이하의 징역 또는 5천만원 이하의 벌금에 처한다.>
 甲이 A의 동의를 얻어 A의 나체를 촬영한 후 A가 다른 남성 B와 사귀자 헤어지게 할 목적으로 A에게 위 나체 영상을 전송한 경우 구 성폭법 제14조 제2항의 ‘제공’으로 처벌할 수 있다.",X,"성폭력처벌법 제14조 제1항에서 ‘반포’와 별도로 열거된 ‘제공’은, ‘반포’에 이르지 아니하는 무상 교부행위로서 ‘반포’할 의사 없이 ‘특정한 1인 또는 소수의 사람’에게 무상으로 교부하는 것을 의미하는데, 성폭력처벌법 제14조 제1항에서 촬영행위뿐만 아니라 촬영물을 반포·판매·임대·제공 또는 공공연하게 전시·상영하는 행위까지 처벌하는 것이 촬영물의 유포행위를 방지함으로써 피해자를 보호하기 위한 것임에 비추어 볼 때, 촬영의 대상이 된 피해자 본인은 성폭력처벌법 제14조 제1항에서 말하는 ‘제공’의 상대방인 ‘특정한 1인 또는 소수의 사람’에 포함되지 않는다고 봄이 타당하다.
 따라서 피해자 본인에게 촬영물을 교부하는 행위는 다른 특별한 사정이 없는 한 성폭력처벌법 제14조 제1항의 ‘제공’에 해당한다고 할 수 없다(2018도1481)."
"<다음은 ｢성폭력범죄의 처벌 등에 관한 특례법｣ 제14조(카메라 등을 이용한 촬영)에 관한 설명이다. (제시된 법령을 참고하고 다툼이 있는 경우 판례에 의함)
 
 〈성폭력범죄의 처벌 등에 관한 특례법[법률 제11556호, 2012. 12. 18. 전부개정](이하 ‘구 성폭법’이라 함)〉
 제14조(카메라 등을 이용한 촬영)
 ① 카메라나 그 밖에 이와 유사한 기능을 갖춘 기계장치를 이용하여 성적 욕망 또는 수치심을 유발할 수 있는 다른 사람의 신체를 그 의사에 반하여 촬영하거나 그 촬영물을 반포·판매·임대·제공 또는 공공연하게 전시·상영한 자는 5년 이하의 징역 또는 1천만원 이하의 벌금에 처한다.
 ② 제1항의 촬영이 촬영 당시에는 촬영대상자의 의사에 반하지 아니하는 경우에도 사후에 그 의사에 반하여 촬영물을 반포·판매·임대·제공 또는 공공연하게 전시·상영한 자는 3년 이하의 징역 또는 500만원 이하의 벌금에 처한다.
 
 〈성폭력범죄의 처벌 등에 관한 특례법[법률 제17264호, 2020. 5. 19. 일부개정](이하 ‘현행 성폭법’이라 함)〉
 제14조(카메라 등을 이용한 촬영)
 ① 카메라나 그 밖에 이와 유사한 기능을 갖춘 기계장치를 이용하여 성적 욕망 또는 수치심을 유발할 수 있는 사람의 신체를 촬영대상자의 의사에 반하여 촬영한 자는 7년 이하의 징역 또는 5천만원 이하의 벌금에 처한다.
 ② 제1항에 따른 촬영물 또는 복제물(복제물의 복제물을 포함한다. 이하 이 조에서 같다)을 반포·판매·임대·제공 또는 공공연하게 전시·상영(이하 “반포등”이라 한다)한 자 또는 제1항의 촬영이 촬영 당시에는 촬영대상자의 의사에 반하지 아니한 경우(자신의 신체를 직접 촬영한 경우를 포함한다)에도 사후에 그 촬영물 또는 복제물을 촬영대상자의 의사에 반하여 반포등을 한 자는 7년 이하의 징역 또는 5천만원 이하의 벌금에 처한다.>
 甲이 A의 의사에 반하여 A의 나체를 촬영한 영상을 乙이 A의 의사에 반하여 반포한 경우 甲은 현행 성폭법 제14조 제1항으로, 乙은 동조 제2항으로 처벌할 수 있다.",O,"이 사건 조항의 문언 자체가 “촬영하거나 그 촬영물을 반포·판매·임대 또는 공연히 전시·상영한 자”라고 함으로써 촬영행위 또는 반포 등 유통행위를 선택적으로 규정하고 있을 뿐 아니라, 이 사건 조항의 입법 취지는, 개정 전에는 카메라 등을 이용하여 성적 욕망 또는 수치심을 유발할 수 있는 타인의 신체를 그 의사에 반하여 촬영한 자만을 처벌하였으나, ‘타인의 신체를 그 의사에 반하여 촬영한 촬영물’(이하 ‘촬영물’이라 한다)이 인터넷 등 정보통신망을 통하여 급속도로 광범위하게 유포됨으로써 피해자에게 엄청난 피해와 고통을 초래하는 사회적 문제를 감안하여, 죄책이나 비난 가능성이 촬영행위 못지않게 크다고 할 수 있는 촬영물의 시중 유포 행위를 한 자에 대해서도 촬영자와 동일하게 처벌하기 위한 것인 점을 고려하면, 이 사건 조항에서 촬영물을 반포·판매·임대 또는 공연히 전시·상영한 자는 반드시 그 촬영물을 촬영한 자와 동일인이어야 하는 것은 아니고, 행위의 대상이 되는 촬영물은 누가 촬영한 것인지를 묻지 아니한다고 할 것이다(2016도6172)."
"선행 교통사고와 후행 교통사고 중 어느 쪽이 원인이 되어 피해자가 사망에 이르게 되었는지 밝혀지지 않은 경우, 후행 교통사고를 일으킨 사람의 과실과 피해자의 사망 사이에 인과관계가 인정되기 위해서는 후행 교통사고를 일으킨 사람이 주의의무를 게을리하지 않았다면 피해자가 사망에 이르지 않았을 것이라는 사실이 증명되어야 한다.",O,2005도8822.
"결과적 가중범의 미수범 규정이 있는 경우, 기본범죄가 미수에 그친 때에는 결과적 가중범의 미수범이 성립된다.",X,
결과적 가중범의 공동정범이 성립하기 위해서는 고의의 기본범죄를 공동으로 할 의사와 함께 과실에 의한 중한 결과를 공동으로 할 의사가 필요하다.,X,
"절도를 교사하였는데 피교사자가 강간을 실행한 경우, 교사자에게 피교사자의 강간행위에 대한 예견가능성이 있는 때에는 강간죄의 교사범으로서의 죄책을 지울 수 있다.",X,"질적 초과에 해당하고, 절도는 예비, 음모를 처벌하지 않으므로 불가벌이다."
부진정결과적 가중범은 기본범죄가 고의범인 경우에는 물론이고 과실범인 경우에도 인정되는 개념이다.,X,부진정결과적 가중범은 중한 결과를 과실로 야기한 경우는 물론이고 고의로 야기한 경우에도 결과적 가중범이 성립되는 경우를 말한다.
"상명하복관계에 있는 자들이 범행에 공동가공한 경우, 특수교사·방조범(｢형법｣ 제34조 제2항)이 성립할 수 있으나 공동정범은 인정될 수 없다.",X,상명하복 관계에 있는 자들 사이에 있어서도 범행에 공동가공한 이상 공동정범이 성립하는 데 아무런 지장이 없다(94도1793).
공모자에게 범죄에 대한 본질적 기여를 통한 기능적 행위지배가 인정된다면 공모공동정범으로서의 죄책을 물을 수 있다.,O,"형법 제30조의 공동정범은 공동가공의 의사와 그 공동의사에 기한 기능적 행위지배를 통한 범죄 실행이라는 주관적·객관적 요건을 충족함으로써 성립하는바, 공모자 중 구성요건 행위 일부를 직접 분담하여 실행하지 않은 자라도 경우에 따라 이른바 공모공동정범으로서의 죄책을 질 수도 있는 것이기는 하나, 이를 위해서는 전체 범죄에서 그가 차지하는 지위, 역할이나 범죄 경과에 대한 지배 내지 장악력 등을 종합해 볼 때, 단순한 공모자에 그치는 것이 아니라 범죄에 대한 본질적 기여를 통한 기능적 행위지배가 존재하는 것으로 인정되는 경우여야 한다(2009도2994)."
