문제,정답,해설
"규범적 책임론은 행위자유를 부정하는 결정주의, 예방적 책임론은 행위자유를 긍정하는 비결정주의에 근거를 두고 있다.",X,"규범적 책임론은 행위자가 적법 행위를 할 수 있었음에도 그렇게 하지 아니한 것에 대한 '비난가능성'을 책임의 본질로 보는바, 행위자유를 긍정하는 비결정주의에 근거한다. 한편 예방적(기능적) 책임론은 책임을 형벌 목적을 달성하기 위한 하나의 수단으로 파악한다."
"자신의 범행을 일관되게 부인하였으나 유죄판결이 확정된 사람은 별건으로 기소된 공범의 형사사건에서 자신의 범행을 사실대로 진술할 것이라는 기대가능성이 있다고 볼 수 없으므로, 자신의 범행을 부인하는 허위의 증언을 하더라도 위증죄가 성립하지 않는다.",X,"피고인에게 적법행위를 기대할 가능성이 있는지 여부를 판단하기 위하여는 행위 당시의 구체적인 상황하에 행위자 대신에 사회적 평균인을 두고 이 평균인의 관점에서 그 기대가능성 유무를 판단하여야 하는 점, 자기에게 형사상 불리한 진술을 강요당하지 아니할 권리가 결코 적극적으로 허위의 진술을 할 권리를 보장하는 취지는 아닌 점, 이미 유죄의 확정판결을 받은 경우에는 일사부재리의 원칙에 의해 다시 처벌되지 아니하므로 증언을 거부할 수 없는바, 이는 사실대로의 진술 즉 자신의 범행을 시인하는 진술을 기대할 수 있기 때문인 점 등에 비추어 보면, 피고인은 강도상해죄로 이미 유죄의 확정판결을 받았으므로 그 범행에 대한 증언을 거부할 수 없을 뿐만 아니라 나아가 사실대로 증언하여야 하고, 설사 피고인이 자신에 대한 형사사건에서 시종일관 그 범행을 부인하였다 하더라도 이러한 사정은 이 사건 위증죄에 관한 양형참작사유로 볼 수 있음은 별론으로 하고 이를 이유로 피고인에게 사실대로의 진술을 기대할 가능성이 없다고 볼 수는 없다(2005도10101)."
"법률 위반 행위 중간에 일시적으로라도 판례에 따라 그 행위가 처벌대상이 되지 않는 것으로 해석된 적이 있었다면, 이를 조회한 행위자로서는 자신의 행위가 처벌되지 않는 것으로 믿은 데에 정당한 이유가 있어 책임이 조각된다.",X,법률 위반 행위 중간에 일시적으로 판례에 따라 그 행위가 처벌대상이 되지 않는 것으로 해석되었던 적이 있었다고 하더라도 그것만으로 자신의 행위가 처벌되지 않는 것으로 믿은 데에 정당한 이유가 있다고 할 수 없다(2021도10903).
"음주운전을 할 의사를 가지고 음주만취한 후 운전을 결행하여 교통사고를 일으켰다면, 음주 시에 교통사고를 일으킬 위험성을 예견하였는데도 자의로 심신장애를 야기한 경우에 해당하므로 심신장애로 인한 감경 등을 할 수 없다.",O,"형법 제10조 제3항은 「위험의 발생을 예견하고 자의로 심신장애를 야기한자의 행위에는 전 2항의 규정을 적용하지 아니한다」고 규정하고 있는바, 이규정은 고의에 의한 원인에 있어서의 자유로운 행위만이 아니라 과실에 의한원인에 있어서의 자유로운 행위까지도 포함하는 것으로서 위험의 발생을 예견할 수 있었는데도 자의로 심신장애를 야기한 경우도 그 적용대상이 된다고 할 것이다.
 원심이 같은 취지에서 피고인이 음주운전을 할 의사를 가지고 음주만취한 후 운전을 결행하여 그 판시와 같은 교통사고를 일으킨 이 사건에서 피고인은 음주시에 교통사고를 일으킬 위험성을 예견하였는데도 자의로 심신장애를 야기한 경우에 해당하므로 형법 제10조 제3항에 의하여 심신장애로 인한 감경 등을 할 수 없다고 판단하였음은 정당하고 소론과 같은 위법이 없어 이 점에 관한 논지는 이유 없다(92도999)."
｢형법｣ 제10조의 심신장애는 생물학적 요소로서 정신병 또는 비정상적 정신상태와 같은 정신적 장애와 함께 심리학적 요소로서 이와 같은 정신적 장애로 말미암아 사물에 대한 변별능력과 그에 따른 행위통제능력이 결여되거나 감소되었음을 필요로 한다.,O,"형법 제10조에 규정된 심신장애는 생물학적 요소로서 정신병, 정신박약 또는 비정상적 정신상태와 같은 정신적 장애가 있는 외에 심리학적 요소로서 이와 같은 정신적 장애로 말미암아 사물에 대한 판별능력과 그에 따른 행위통제능력이 결여되거나 감소되었음을 요하므로, 정신적 장애가 있는 자라고 하여도 범행 당시 정상적인 사물판별능력이나 행위통제능력이 있었다면 심신장애로 볼 수 없음은 물론이나(92도1425)..."
｢형법｣은 이른바 ‘착한 사마리아인’에 관한 규정을 두고 있지 않기 때문에 조리에 의한 작위의무가 인정되지 않는다.,X,"형법상 부작위범이 인정되기 위해서는 형법이 금지하고 있는 법익침해의 결과발생을 방지할 법적인 작위의무를 지고 있는 자가 그 의무를 이행함으로써 결과발생을 쉽게 방지할 수 있었음에도 불구하고 그 결과의 발생을 용인하고 이를 방관한 채 그 의무를 이행하지 아니한 경우에, 그 부작위가 작위에 의한 법익침해와 동등한 형법적 가치가 있는 것이어서 그 범죄의 실행행위로 평가될 만한 것이라면, 작위에 의한 실행행위와 동일하게 부작위범으로 처벌할 수 있고, 여기서 작위의무는 법령, 법률행위, 선행행위로 인한 경우는 물론, 기타 신의성실의 원칙이나 사회상규 혹은 조리상 작위의무가 기대되는 경우에도 인정된다 할 것이다(2007도9354)."
"다수의 부작위범에게 공통된 의무가 부여되어 있다면, 그 의무를 공통으로 이행할 수 없을 때에도 부작위범 사이에 공동정범이 성립할 수 있다.",X,부작위범 사이의 공동정범은 다수의 부작위범에게 공통된 의무가 부여되어 있고 그 의무를 공통으로 이행할 수 있을 때에만 성립한다고 할 것이다(2008도89).
"어느 행정법규가 “…시설 및 설비를 갖추고 시장·군수·구청장에게 신고하여야 한다.”라고 규정하면서 “…신고를 하지 아니한 자를 처벌한다.”라고 규정하고 있는 경우, 이 위반죄는 구성요건이 부작위에 의해서만 실현될 수 있는 진정부작위범에 해당한다.",O,"공중위생관리법 제3조 제1항 전단은 “공중위생영업을 하고자 하는 자는 공중위생영업의 종류별로 보건복지부령이 정하는 시설 및 설비를 갖추고 시장ㆍ군수ㆍ구청장에게 신고하여야 한다”고 규정하고 있고, 제20조 제1항 제1호는 ‘ 제3조 제1항 전단의 규정에 의한 신고를 하지 아니한 자’를 처벌한다고 규정하고 있는바, 그 규정 형식 및 취지에 비추어 신고의무 위반으로 인한 공중위생관리법 위반죄는 구성요건이 부작위에 의하여서만 실현될 수 있는 진정부작위범에 해당한다고 할 것이고(2008도89)..."
"배임죄는 부작위에 의해서도 성립할 수 있는데, 이 경우 배임행위자는 부작위 당시 자신에게 주어진 임무를 위반한다는 점만 인식하면 되고, 그 부작위로 인해 본인에게 손해가 발생할 위험이 있다는 점까지는 인식할 필요가 없다.",X,업무상배임죄는 타인과의 신뢰관계에서 일정한 임무에 따라 사무를 처리할 법적 의무가 있는 자가 그 상황에서 당연히 할 것이 법적으로 요구되는 행위를 하지 않는 부작위에 의해서도 성립할 수 있다. 그러한 부작위를 실행의 착수로 볼 수 있기 위해서는 작위의무가 이행되지 않으면 사무처리의 임무를 부여한 사람이 재산권을 행사할 수 없으리라고 객관적으로 예견되는 등으로 구성요건적 결과 발생의 위험이 구체화한 상황에서 부작위가 이루어져야 한다. 그리고 행위자는 부작위 당시 자신에게 주어진 임무를 위반한다는 점과 그 부작위로 인해 손해가 발생할 위험이 있다는 점을 인식하였어야 한다(2020도15529).
"보호자의 간청에 따라 담당 의사가 치료를 요하는 환자에 대한 치료를 중단하고 퇴원을 허용함으로써 그 환자가 사망한 경우, 부작위에 의한 살인방조죄가 성립한다.",X,"어떠한 범죄가 적극적 작위에 의하여 이루어질 수 있음은 물론 결과의 발생을 방지하지 아니하는 소극적 부작위에 의하여도 실현될 수 있는 경우에, 행위자가 자신의 신체적 활동이나 물리적·화학적 작용을 통하여 적극적으로 타인의 법익 상황을 악화시킴으로써 결국 그 타인의 법익을 침해하기에 이르렀다면, 이는 작위에 의한 범죄로 봄이 원칙이고, 작위에 의하여 악화된 법익 상황을 다시 되돌이키지 아니한 점에 주목하여 이를 부작위범으로 볼 것은 아니며, 나아가 악화되기 이전의 법익 상황이, 그 행위자가 과거에 행한 또 다른 작위의 결과에 의하여 유지되고 있었다 하여 이와 달리 볼 이유가 없다.
 이 사건의 경우 피고인들은 피고인 3에게 피해자를 집으로 후송하고 호흡보조장치를 제거할 것을 지시하는 등의 적극적 행위를 통하여 원심공동피고인 1의 부작위에 의한 살인행위를 도운 것이므로, 이를 작위에 의한 방조범으로 본 원심의 판단은 정당한 것으로 수긍할 수 있고, 거기에 피고인들이 상고이유로 주장하는 바처럼 형법상 작위와 부작위의 구별 및 방조행위의 성립에 관한 법리오해 등의 위법이 없다(2002도995)."
기본행위와 중한 결과 사이에 인과관계가 있다고 하더라도 행위자가 행위 시에 그 결과의 발생을 예견할 수 없을 때에는 중한 죄로 벌할 수 없다.,O,형법 제15조 제2항이 규정하고 있는 이른바 결과적 가중범은 행위자가 행위시에 그 결과의 발생을 예견할 수 없을 때는 비록 그 행위와 결과사이에 인과관계가 있다 하더라도 중한 죄로 벌할 수 없는 것으로 풀이된다(88도178).
결과적 가중범의 공동정범은 기본행위를 공동으로 할 의사와 결과를 공동으로 할 의사가 있어야 성립한다.,X,"결과적 가중범의 경우 행위자가 그 결과를 의도할 필요는 없고 그 발생을 예견할 수 있으면 충분하며, 결과적 가중범의 공동정범은 기본행위를 공동으로 할 의사가 있으면 성립하고 결과를 공동으로 할 의사까지는 요하지 않는다고 할 것이다(2012도4662)."
"｢성폭력범죄의 처벌 등에 관한 특례법｣은 결과적 가중범인 특수강간치상죄의 미수범을 처벌하는 규정을 두고 있는데, 이는 입법자가 결과적 가중범의 미수범을 인정하기 위한 입법이라고 볼 수 있다.",X,"특수강간치상죄가 처음 도입된 「성폭력범죄의 처벌 및 피해자보호 등에 관한 법률」은 흉포화 · 집단화 · 지능화 · 저연령화되는 성폭력범죄에 대처하기 위하여 성폭력범죄에 대한 처벌규정을 신설 또는 강화하는 데에 그 제정 목적이 있었다. 위 법률 제정과정에서 국회에 제출된 3건의 의원 입법안들은 다소 차이가 있기는 하였으나 공통적으로 특수강간치상죄에 대한 미수범 적용을 배제하고 있었다. 이러한 점에 비추어 보면, 입법자는 형법상 강간치상죄와 마찬가지로 특수강간이 기수에 이르렀는지 여부와 관계없이 특수강간의 실행행위로 인하여 피해자에게 상해를 입힌 경우에는 모두 특수강간치상죄의 기수범으로 처벌하고자 하였다고 보는 것이 합리적이다(2023도10405)."
"공무집행을 방해하는 집단행위의 과정에서 일부 집단원이 경찰관이 현존하는 건물에 방화를 하여 상해의 결과를 초래한 경우에 방화에 공모한 바 없는 다른 집단원 甲이 그 방화로 인한 상해의 결과를 예견할 수 있는 상황이었다면, 甲은 현존건조물방화치상의 죄책을 진다.",X,"특수공무집행방해치사상과 같은 부진정결과적가중범은 예견가능한 결과를 예견하지 못한 경우뿐만 아니라 그 결과를 예견하거나 고의가 있는 경우까지도 포함하는 것이므로, 공무집행을 방해하는 집단행위의 과정에서 일부 집단원이 고의로 방화행위를 하여 사상의 결과를 초래한 경우에 다른 집단원이 그 방화행위로 인한 사상의 결과를 예견할 수 있는 상황이었다면 특수공무집행방해치사상의 죄책을 면할 수 없으나 그 방화행위자체에 공모가담한 바 없는 이상 방화치사상죄로 의율할 수는 없다고 할 것이다(90도765)."
"甲이 A의 재물을 강취한 후 A를 살해할 목적으로 현주건조물에 방화하여 A를 사망에 이르게 한 경우, 甲의 행위는 강도살인죄와 현주건조물방화치사죄에 모두 해당하고 그 두 죄는 실체적 경합범 관계에 있다.",X,이 사건과 같이 피고인들이 피해자들의 재물을 강취한 후 그들을 살해할 목적으로 현주건조물에 방화하여 사망에 이르게 한 경우 피고인들의 위 행위는 강도살인죄와 현주건조물방화치사죄에 모두 해당하고 그 두 죄는 상상적 경합범관계에 있다고 할 것이므로(98도3416)...
"절도범인이 처음에는 흉기를 휴대하지 않았으나, 체포를 면탈할 목적으로 폭행 또는 협박을 가할 때에 비로소 흉기를 휴대 사용하게 된 경우, 특수강도의 준강도가 성립하지 않는다.",X,"준강도에 관한 형법 제335조를 보면 절도가 재물의 탈환을 항거하거나, 체포를 면탈하거나, 죄적을 인멸할 목적으로 폭행 또는 협박을 가한 때에는 형법 제333조와 형법 제334조의 예에 의한다고 규정하고 있는바, 이 조문은 절도범인이 절도기수 후 또는 절도의 착수 후 그 수행의 범의를 포기한 후에 소정의 목적으로서 폭행 또는 협박을 하는 행위가 그 태양에 있어서 재물탈취의 수단으로서 폭행, 협박을 가하는 강도죄와 같이 보여질 수 있는 실질적 위법성을 지니게 됨에 비추어 이를 엄벌하기 위한 취지로 규정외에 있는 것이며, 강도죄에 있어서의 재물탈취의 수단인 폭행 또는 협박의 유형을 흉기를 휴대하고 하는 경우와 그렇지 않은 경우로 나누어 흉기를 휴대하고 하는 경우를 특수강도로 하고, 그렇지 않은 경우를 단순강도로 하여 처벌을 달리하고 있음에 비추어 보면 절도범인이 처음에는 흉기를 휴대하지 아니하였으나 체포를 면탈할 목적으로 폭행 또는 협박을 가할 때에 비로소 흉기를 휴대사용하게 된 경우에는 형법 제334조의 예에 의한 준강도(특수강도의 준강도)가 되는 것으로 해석하여야 할 것이므로 처음에 흉기를 휴대하지 않았던 절도범인인 피고인이 체포를 면탈할 목적으로 추적하는 사람에 대하여 비로소 흉기를 휴대하여 흉기로서 협박을 가한 소위를 특수강도의 예에 의한 준강도로 의율한 원심의 조처는 정당하고 원심의 그 조처에 준강도에 관한 법리를 오해한 위법이 없다(73도1553)."
"甲이 야간에 타인의 재물을 절취할 목적으로 사람의 주거에 침입한 경우, 주거침입 단계에서는 야간주거침입절도죄의 실행에 착수한 것이라고 볼 수 없기 때문에 준강도의 주체가 될 수 없다.",X,"형법 제330조의 야간주거침입절도죄는 야간에 이루어지는 주거침입행위의 위험성에 주목하여 그러한 행위를 수반한 절도를 가중처벌하는 것으로서, 야간에 타인의 재물을 절취할 목적으로 사람의 주거에 침입한 경우에는 주거침입 단계에서 이미 야간주거침입절도죄의 실행에 착수한 것이라고 보아야 한다(2022도5573)."
"준강도죄에서 절도의 기회란 절도에 잇달아 또는 절도의 시간·장소에 접착하여 피해자 측이 범인을 체포할 수 있는 상황 등을 말하고, 범인이 일단 체포되었으나 아직 신병확보가 확실하지 않은 단계도 이에 포함된다.",O,"준강도는 절도범인이 절도의 기회에 재물탈환의 항거 등의 목적으로 폭행 또는 협박을 가함으로써 성립되는 것으로서, 여기서 절도의 기회라고 함은 절도범인과 피해자 측이 절도의 현장에 있는 경우와 절도에 잇달아 또는 절도의 시간·장소에 접착하여 피해자 측이 범인을 체포할 수 있는 상황, 범인이 죄적인멸에 나올 가능성이 높은 상황에 있는 경우를 말하고, 그러한 의미에서 피해자 측이 추적태세에 있는 경우나 범인이 일단 체포되어 아직 신병확보가 확실하다고 할 수 없는 경우에는 절도의 기회에 해당한다(2009도5022)."
"준강도죄의 기수 여부는 절도행위의 기수 여부를 기준으로 판단하기 때문에 절도미수범이 범죄흔적을 인멸할 목적으로 상해를 가한 경우, 강도상해의 미수범이 성립한다.",X,"형법 제335조에서 절도가 재물의 탈환을 항거하거나 체포를 면탈하거나 죄적을 인멸할 목적으로 폭행 또는 협박을 가한 때에 준강도로서 강도죄의 예에 따라 처벌하는 취지는, 강도죄와 준강도죄의 구성요건인 재물탈취와 폭행·협박 사이에 시간적 순서상 전후의 차이가 있을 뿐 실질적으로 위법성이 같다고 보기 때문이다. (중략) 위와 같은 준강도죄의 입법 취지, 강도죄와의 균형 등을 종합적으로 고려해 보면, 준강도죄의 기수 여부는 절도행위의 기수 여부를 기준으로 하여 판단하여야 한다고 봄이 상당하다(2004도5074).
 
 강도의 범인이 강도의 기회에 사람을 상해하여 상해의 결과가 발생하면 형법 제337조 전단의 강도상해죄의 기수가 되는 것이고 거기에 반드시 재물탈취의 목적달성을 필요로 하는 것은 아닌 것이다(87도2492)."
"절도가 재물의 탈환에 항거할 목적으로 사람을 살해한 경우, 준강도죄와 살인죄는 실체적 경합범 관계에 있다.",X,강도살인죄(형법 제338조)의 주체인 강도는 준강도죄(형법 제335조)의 강도범인을 포함한다고 할 것이어서 절도가 체포를 면탈할 목적으로 사람을 살해한 때에는 강도살인죄가 성립한다 할 것이므로(87도1592)...
"중상해의 고의로 상해행위를 하였으나 단순상해의 결과가 발생하면 상해기수죄로, 단순상해의 결과도 발생하지 않으면 중상해미수죄로 처벌된다.",X,"중상해죄에는 미수범 처벌 조항이 없다.
 
 형법 제257조(상해, 존속상해) ①사람의 신체를 상해한 자는 7년 이하의 징역, 10년 이하의 자격정지 또는 1천만원 이하의 벌금에 처한다.
 ②자기 또는 배우자의 직계존속에 대하여 제1항의 죄를 범한 때에는 10년 이하의 징역 또는 1천500만원 이하의 벌금에 처한다.
 ③전 2항의 미수범은 처벌한다.
 제258조(중상해, 존속중상해) ①사람의 신체를 상해하여 생명에 대한 위험을 발생하게 한 자는 1년 이상 10년 이하의 징역에 처한다.
 ②신체의 상해로 인하여 불구 또는 불치나 난치의 질병에 이르게 한 자도 전항의 형과 같다.
 ③자기 또는 배우자의 직계존속에 대하여 전2항의 죄를 범한 때에는 2년 이상 15년 이하의 징역에 처한다."
"甲이 A의 신체에 접촉함이 없이 A를 부딪칠 듯이 차를 조금씩 전진시키는 것을 반복한 경우, A에 대해 위법한 유형력을 행사한 것이라고 볼 수 없다.",X,"폭행죄에서 말하는 폭행이란 사람의 신체에 대하여 육체적·정신적으로 고통을 주는 유형력을 행사함을 뜻하는 것으로서 반드시 피해자의 신체에 접촉함을 필요로 하는 것은 아니고, 그 불법성은 행위의 목적과 의도, 행위 당시의 정황, 행위의 태양과 종류, 피해자에게 주는 고통의 유무와 정도 등을 종합하여 판단하여야 한다. 따라서 자신의 차를 가로막는 피해자를 부딪친 것은 아니라고 하더라도, 피해자를 부딪칠 듯이 차를 조금씩 전진시키는 것을 반복하는 행위 역시 피해자에 대해 위법한 유형력을 행사한 것이라고 보아야 한다(2016도9302)."
"시간적 차이가 있는 독립된 폭행행위가 경합하여 사망의 결과가 일어나고 그 사망의 원인이 된 행위가 판명되지 않는 경우, 공동정범의 예에 의하여 처벌할 수 없다.",X,"형법 제263조(동시범) 독립행위가 경합하여 상해의 결과를 발생하게 한 경우에 있어서 원인된 행위가 판명되지 아니한 때에는 공동정범의 예에 의한다.
 
 형법 제19조와 같은 법 제263조의 규정취지를 새겨 보면 본건의 경우와 같은 이시의 상해의 독립행위가 경합하여 사망의 결과가 일어난 경우에도 그 원인된 행위가 판명되지 아니한 때에는 공동정범의 예에 의하여야 한다고 해석하여야 할 것이니 이와 같은 견해에서 피고인의 소위에 대하여 형법 제263조의 동시범으로 의율처단한 원심의 조치는 정당하고 원판결에 형법 제19조와 동 제263조의 법리를 오해한 위법이나 소론 의률착오의 위법이 없으며(80도3321)...
 
 시간적 차이가 있는 독립된 상해행위나 폭행행위가 경합하여 사망의 결과가 일어나고 그 사망의 원인된 행위가 판명되지 않은 경우에는 공동정범의 예에 의하여 처벌할 것이므로, 2시간 남짓한 시간적 간격을 두고 피고인이 두번째의 가해행위인 이 사건 범행을 한 후, 피해자가 사망하였고 그 사망의 원인을 알 수 없다고 보아 피고인을 폭행치사죄의 동시범으로 처벌한 원심판단은 옳고 거기에 동시범의 법리나 상당인과 관계에 관한 법리를 오해한 위법도 없다(2000도2466)."
"특수폭행죄의 ‘위험한 물건의 휴대’에 해당하기 위하여는, 행위자가 범행 현장에 있는 위험한 물건을 사실상 지배하면서 그 물건을 범행에 사용할 수 있는 상태에 두는 것만으로는 부족하고 그 물건을 현실적으로 손에 쥐고 있는 등 행위자와 그 물건이 물리적으로 부착되어 있어야 한다.",X,"형법 제258조의2 제1항, 제257조 제1항, 제284조, 제283조 제1항은 위험한 물건을 휴대하여 사람의 신체를 상해한 자를 특수상해죄로, 사람을 협박한 자를 특수협박죄로 각 처벌하도록 규정하고 있다. 여기서 위험한 물건을 ‘휴대하여’는 범행 현장에서 사용하려는 의도 아래 위험한 물건을 소지하거나 몸에 지니는 경우를 의미한다. 범행 현장에서 위험한 물건을 사용하려는 의도가 있었는지는 피고인의 범행 동기, 위험한 물건의 휴대 경위 및 사용 방법, 피고인과 피해자와의 인적 관계, 범행 전후의 정황 등 모든 사정을 합리적으로 고려하여 판단하여야 한다. 피고인이 범행 현장에서 범행에 사용하려는 의도 아래 위험한 물건을 소지하거나 몸에 지닌 이상 피고인이 이를 실제로 범행에 사용하였을 것까지 요구되지는 않는다. 또한 위험한 물건을 휴대하였다고 하기 위하여는, 피고인이 범행 현장에 있는 위험한 물건을 사실상 지배하면서 언제든지 그 물건을 곧바로 범행에 사용할 수 있는 상태에 두면 충분하고, 피고인이 그 물건을 현실적으로 손에 쥐고 있는 등 피고인과 그 물건이 반드시 물리적으로 부착되어 있어야 하는 것은 아니다(2023도18812)."
