문제,정답,해설
"살해의 의도로 피해자를 구타하였으나 이로 인하여 직접 사망한 것이 아니라 그 후 죄적을 인멸할 목적으로 행한 매장행위에 의하여 피해자가 사망하게 된 경우, 살인미수죄와 과실치사죄의 경합범이 된다.",X,피해자가 피고인들이 살해의 의도로 행한 구타 행위에 의하여 직접 사망한 것이 아니라 죄적을 인멸할 목적으로 행한 매장행위에 의하여 사망하게 되었다 하더라도 전과정을 개괄적으로 보면 피해자의 살해라는 처음에 예견된 사실이 결국은 실현된 것으로서 피고인들은 살인죄의 죄책을 면할 수 없다 할 것이므로 같은 취지에서 피고인들을 살인죄로 의율한 제1심 판결을 유지한 원심의 조치는 정당하고 거기에 아무런 잘못도 없다(88도650).
작위의무자가 그 의무를 이행함으로써 결과발생을 쉽게 방지할 수 있었음을 예견하고도 결과발생을 용인하고 이를 방관한 채 그 의무를 이행하지 아니한다는 인식만으로는 부진정 부작위범의 고의가 인정되지 않는다.,X,"형법이 금지하고 있는 법익침해의 결과발생을 방지할 법적인 작위의무를 지고 있는 자가 그 의무를 이행함으로써 결과발생을 쉽게 방지할 수 있었음에도 불구하고 그 결과의 발생을 용인하고 이를 방관한 채 그 의무를 이행하지 아니한 경우에, 그 부작위가 작위에 의한 법익침해와 동등한 형법적 가치가 있는 것이어서 그 범죄의 실행행위로 평가될 만한 것이라면, 작위에 의한 실행행위와 동일하게 부작위범으로 처벌할 수 있다고 할 것이다(91도2951)."
"무고죄의 범의는 신고자가 허위라고 확신한 사실을 신고한 경우에만 인정되고, 진실하다는 확신 없는 사실을 신고하는 경우에는 인정되지 않는다.",X,"무고죄는 타인으로 하여금 형사처분이나 징계처분을 받게 할 목적으로 신고한 사실이 객관적 진실에 반하는 허위사실인 경우에 성립한다. 무고죄의 범의는 반드시 확정적 고의일 필요가 없고 미필적 고의로도 충분하므로, 신고자가 허위라고 확신한 사실을 신고한 경우뿐만 아니라 진실하다는 확신 없는 사실을 신고하는 경우에도 그 범의를 인정할 수 있다(2022도3413)."
"피고인이 상해의 고의로 구타하여 상해를 입은 피해자가 정신을 잃고 빈사상태에 빠지자 사망한 것으로 오인하고, 자신의 행위를 은폐하고 피해자가 자살한 것처럼 가장하기 위하여 피해자를 베란다 밖으로 떨어뜨려 사망케 하였다면, 피고인의 행위는 포괄하여 단일의 상해치사죄에 해당한다.",O,94도2361
간통이 형사처벌된다고 착오하고 간통행위를 한 경우는 불능범에 해당한다.,X,처벌되지 않는 행위를 처벌되는 것으로 생각하고 행위한 경우는 반전된 금지착오 또는 환각범으로서 불가벌이다.
결과발생의 불가능은 범죄행위의 성질상 어떠한 경우에도 구성요건의 실현이 불가능하다는 것을 의미하는 것은 아니다.,X,"형법 제27조(불능범)는 “실행의 수단 또는 대상의 착오로 인하여 결과의 발생이 불가능하더라도 위험성이 있는 때에는 처벌한다. 단, 형을 감경 또는 면제할 수 있다.”라고 규정하고 있다. 불능미수란 행위자에게 범죄의사가 있고 실행의 착수라고 볼 수 있는 행위가 있더라도 실행의 수단이나 대상의 착오로 처음부터 결과발생 또는 법익침해의 가능성이 없지만 다만 그 행위의 위험성 때문에 미수범으로 처벌하는 경우를 말한다. 여기에서 ‘결과의 발생이 불가능’하다는 것은 범죄행위의 성질상 어떠한 경우에도 구성요건의 실현이 불가능하다는 것을 의미한다(2019도97)."
위험성은 행위 당시에 행위자가 인식한 사정과 일반인이 인식할 수 있었던 사정을 기초로 일반적 경험법칙에 따라 객관적･사후적으로 판단한다.,X,불능범과 구별되는 불능미수의 성립요건인 '위험성'은 피고인이 행위 당시에 인식한 사정을 놓고 일반인이 객관적으로 판단하여 결과 발생의 가능성이 있는지 여부를 따져야 한다(2018도16002).
소송비용을 편취할 의사로 소송비용의 지급을 구하는 손해배상청구의 소를 제기한 경우 소송사기죄의 불능미수가 성립한다.,X,"불능범의 판단 기준으로서 위험성 판단은 피고인이 행위 당시에 인식한 사정을 놓고 이것이 객관적으로 일반인의 판단으로 보아 결과 발생의 가능성이 있느냐를 따져야 하고, 한편 민사소송법상 소송비용의 청구는 소송비용액 확정절차에 의하도록 규정하고 있으므로, 위 절차에 의하지 아니하고 손해배상금 청구의 소 등으로 소송비용의 지급을 구하는 것은 소의 이익이 없는 부적법한 소로서 허용될 수 없다고 할 것이다. 따라서 소송비용을 편취할 의사로 소송비용의 지급을 구하는 손해배상청구의 소를 제기하였다고 하더라도 이는 객관적으로 소송비용의 청구방법에 관한 법률적 지식을 가진 일반인의 판단으로 보아 결과 발생의 가능성이 없어 위험성이 인정되지 않는다고 할 것이다(불능미수 아닌 불능범; 2005도8105)."
"甲이 살인의 고의로 乙에게 치사량의 독약을 복용시키려 하였으나 착오로 치사량에 현저히 미달하는 양의 독약을 복용시킨 다음 후회하여 乙에게 해독제를 먹인 경우, 방지행위와 결과불발생 사이에 인과관계를 요하는 견해에 따르면 살인죄의 불능미수가 성립한다.",O,
"이혼 소송 중인 부부가 별거하는 상황에서 일방 배우자 甲이 면접교섭권을 행사하기 위하여 외국에서 타방 배우자 乙과 함께 생활하고 있던 자녀 A(5세)를 대한민국으로 데려온 후, 면접교섭 기간이 종료하였음에도 乙에게 데려다주지 않고 법원의 유아인도명령에 따르지 않는 등 A와 乙 간의 유대관계를 잃어버리게 한 경우라도, 甲이 적법하게 A를 데리고 온 이상 이를 약취라 볼 수 없으므로 미성년자약취죄가 성립하지 않는다.",X,"미성년자를 보호ㆍ감독하는 사람이라고 하더라도 다른 보호감독자의 보호ㆍ양육권을 침해하거나 자신의 보호ㆍ양육권을 남용하여 미성년자 본인의 이익을 침해하는 때에는 미성년자에 대한 약취죄의 주체가 될 수 있으므로, 부모가 이혼하였거나 별거하는 상황에서 미성년의 자녀를 부모의 일방이 평온하게 보호ㆍ양육하고 있는데, 상대방 부모가 폭행, 협박 또는 불법적인 사실상의 힘을 행사하여 그 보호ㆍ양육 상태를 깨뜨리고 자녀를 자기 또는 제3자의 사실상 지배하에 옮긴 경우 그와 같은 행위는 특별한 사정이 없는 한 미성년자에 대한 약취죄를 구성한다(2019도16421)."
"유기죄에서의 유기행위는 도움이 필요한 자를 보호 없는 상태로 둠으로써 생명･신체를 위태롭게 하는 것이므로 작위뿐만 아니라 부작위에 의하여도 성립하며, 유기를 당한 사람의 생명･신체에 위험을 발생하게 할 가능성 외에 보호의 가능성이 전혀 없을 것이 요구된다.",X,유기를 당한 사람의 생명･신체에 위험을 발생하게 할 가능성이 있으면 유기행위의 요건은 충족되고 반드시 보호의 가능성이 전혀 없을 것을 요하는 것은 아니다(2015도6809).
"체포죄는 계속범으로서 체포의 행위에 확실히 사람의 신체의 자유를 구속한다고 인정할 수 있을 정도의 시간적 계속이 있어야 기수에 이르고, 신체의 자유에 대한 구속이 그와 같은 정도에 이르지 못하고 일시적인 것으로 그친 경우에는 체포죄의 미수범이 성립할 뿐이다.",O,2016도18713
행위자가 직무상 또는 사실상 상대방에게 영향을 줄 수 있는 직업이나 지위에 기초하여 상대방에게 어떠한 요구를 하였더라도 곧바로 그 요구 행위를 강요죄의 성립을 위한 해악의 고지라고 단정하여서는 안 된다.,O,"특히 공무원이 자신의 직무와 관련한 상대방에게 공무원 자신 또는 자신이 지정한 제3자를 위하여 재산적 이익 또는 일체의 유․무형의 이익 등을 제공할 것을 요구하고 상대방은 공무원의 지위에 따른 직무에 관하여 어떠한 이익을 기대하며 그에 대한 대가로서 요구에 응하였다면, 다른 사정이 없는 한 공무원의 위 요구 행위를 객관적으로 사람의 의사결정의 자유를 제한하거나 의사실행의 자유를 방해할 정도로 겁을 먹게 할 만한 해악의 고지라고 단정하기는 어렵다(2018도13792)."
"성폭력범죄의처벌등에관한특례법위반(촬영물등이용협박)죄가 성립하기 위해서는 반드시 행위자가 촬영물 등을 피해자에게 직접 제시하는 방법으로 협박해야 할 필요는 없지만, 협박 당시 해당 촬영물 등을 소지하고 있거나 유포할 수 있는 상태에 있을 것을 요한다.",X,"성폭력범죄의 처벌 등에 관한 특례법(이하 ‘성폭력처벌법’이라 한다) 제14조의3 제1항은 성적 욕망 또는 수치심을 유발할 수 있는 촬영물 또는 복제물(복제물의 복제물을 포함한다, 이하 ‘촬영물 등’이라 한다)을 이용하여 사람을 협박한 자를 형법상의 협박죄보다 가중 처벌하는 규정을 두고 있다. 여기서 ‘촬영물 등을 이용하여’는 ‘촬영물 등’을 인식하고 이를 방편 또는 수단으로 삼아 협박행위에 나아가는 것을 의미한다. 한편 협박죄에 있어서의 협박이라 함은 ‘사람으로 하여금 공포심을 일으킬 수 있을 정도의 해악의 고지’라 할 것이고, 해악을 고지하는 방법에는 제한이 없어 언어 또는 문서에 의하는 경우는 물론 태도나 거동에 의하는 경우도 협박에 해당한다. 따라서 실제로 촬영, 제작, 복제 등의 방법으로 만들어진 바 있는 촬영물 등을 방편 또는 수단으로 삼아 유포가능성 등 공포심을 일으킬 수 있을 정도의 해악을 고지한 이상 성폭력처벌법 제14조의3 제1항의 죄는 성립할 수 있고, 반드시 행위자가 촬영물 등을 피해자에게 직접 제시하는 방법으로 협박해야 한다거나 협박 당시 해당 촬영물 등을 소지하고 있거나 유포할 수 있는 상태일 필요는 없다(2023도17896)."
방조범에 있어서 방조행위와 정범의 범죄 실현 사이에 인과관계가 인정되려면 방조행위가 정범의 범죄 실현과 밀접한 관련이 있고 정범으로 하여금 구체적 위험을 실현시키거나 범죄결과를 발생시킬 기회를 높이는 등으로 정범의 범죄 실현에 현실적인 기여를 하였다고 평가할 수 있어야 한다.,O,2017도9835
"자동차의 운전자가 통상 예견되는 상황에 대비하여 결과를 회피할 수 있는 정도의 주의의무를 다하지 못한 것이 교통사고 발생의 직접적인 원인이 되었다면, 비록 자동차가 보행자를 직접 충격한 것이 아니고 보행자가 자동차의 급정거에 놀라 도로에 넘어져 상해를 입은 경우라 할지라도, 업무상 주의의무 위반과 교통사고 발생 사이에 상당인과관계를 인정할 수 있다.",O,2022도1401
"피고인이 피해자의 뺨을 1회 때리고 오른손으로 목을 쳐 피해자로 하여금 넘어지면서 머리를 땅바닥에 부딪치게 하여 상해를 가하고, 이로 인하여 두부 손상을 입은 피해자로 하여금 병원에서 입원치료를 받다가 합병증으로 사망에 이르게 한 경우, 피고인의 범행과 피해자의 사망 사이에 인과관계가 인정된다.",O,2011도17648
"강간죄에서 폭행･협박과 간음 사이에는 인과관계가 있어야 하고, 폭행･협박은 반드시 간음행위보다 선행되어야 한다.",X,"강간죄에서의 폭행·협박과 간음 사이에는 인과관계가 있어야 하나, 폭행·협박이 반드시 간음행위보다 선행되어야 하는 것은 아니다(2016도16948)."
폭행 또는 협박으로 타인의 재물을 강취하려는 행위와 이에 극도의 흥분을 느끼고 공포심에 사로잡혀 이를 피하려다 입은 상해 사이에는 상당인과관계가 인정된다.,O,96도1142
"사기죄에서 피해자에게 대가가 지급된 경우, 피해자를 기망하여 그가 보유하고 있는 그 대가를 다시 편취하거나 피해자로부터 그 대가를 위탁받아 보관 중 횡령하였다면, 이는 새로운 법익의 침해가 발생한 경우이므로, 기존에 성립한 사기죄와는 별도의 새로운 사기죄나 횡령죄가 성립한다.",O,2009도7052
변호사를 선임한 바가 없음에도 소송비용액계산서의 비용항목에 실제 지출하지 않은 변호사비용 500만 원을 기재하여 법원에 가처분사건의 소송비용액확정결정신청을 한 행위는 이와 관련하여 소명자료를 조작하거나 허위의 소명자료를 제출하지 않더라도 법원에 대한 기망행위에 해당한다.,X,"소송비용부담의 재판은 소송비용상환의무의 존재를 확정하고 그 지급을 명하는 데 그치고, 구체적인 소송비용의 액수는 민사소송법 제110조 제1항에 의한 소송비용액확정결정을 통하여 확정되며, 소송비용의 상환을 구하는 자는 소송비용액확정결정에 집행문을 부여받아 그 확정된 소송비용액에 관하여 강제집행을 할 수 있는바, 허위 내용으로 법원을 기망하여 자기에게 유리한 소송비용액확정결정을 받는 행위는 사기죄를 구성할 수 있다. 한편 소송비용액확정결정을 신청할 때에는 비용계산서, 그 등본과 비용액을 소명하는 데 필요한 서면을 제출하여야 하므로(민사소송법 제110조 제2항), 당사자가 단순히 실제 사실과 다른 비용액에 관한 주장만 한 경우를 사기죄로 인정하는 것에는 신중하여야 한다. 소송비용 중 당사자 등이 소송 기타 절차를 수행하기 위하여 법원에 납부하는 인지액 및 민사예납금 등 이른바 ‘재판비용’은 관할법원이 스스로 보존하고 있는 재판서 및 소송기록 등에 의하여 계산할 것이 예정되어 있고, 당사자가 소송 등 수행을 위하여 제3자에게 직접 지출하는 이른바 ‘당사자비용’은 신청인이 반드시 소명하여야 하므로, 소명자료 등을 조작하거나 허위의 소명자료 등을 제출함이 없이 단지 실제 사실과 다른 비용액에 관한 주장만 하는 경우에는 특별한 사정이 없는 한 법원을 기망하였다고 단정하기 어렵기 때문이다(2021도2340)."
"분식회계에 의한 재무제표 등으로 금융기관을 기망하여 대출을 받았다면 사기죄는 성립하고, 변제의사와 변제능력의 유무 그리고 충분한 담보가 제공되었다거나 피해자의 전체 재산상에 손해가 없고 사후에 대출금이 상환되었다고 하더라도 사기죄의 성립에는 영향이 없다.",O,2012도1283
"출판사 경영자가 출고현황표를 조작하는 방법으로 실제 출판부수를 속여 작가에게 인세의 일부만을 지급한 경우, 작가가 나머지 인세에 대한 청구권의 존재 자체를 알지 못하여 이를 행사하지 아니한 것은 사기죄에 있어 부작위에 의한 재산의 처분행위에 해당한다.",O,"사기죄는 타인을 기망하여 착오를 일으키게 하고 그로 인한 처분행위를 유발하여 재물·재산상의 이득을 얻음으로써 성립하고, 여기서 처분행위라 함은 재산적 처분행위로서 피해자가 자유의사로 직접 재산상 손해를 초래하는 작위에 나아가거나 또는 부작위에 이른 것을 말하므로, 피해자가 착오에 빠진 결과 채권의 존재를 알지 못하여 채권을 행사하지 아니하였다면 그와 같은 부작위도 재산의 처분행위에 해당한다(2005도9221)."
"사기죄에서 말하는 처분행위가 인정되기 위해서는 처분결과에 대한 피기망자의 주관적인 인식이 필요하므로, ‘서명사취’ 사안의 경우 피기망자에게는 자신이 서명 또는 날인하는 처분문서의 내용과 법적 효과에 대하여 아무런 인식이 없어 처분의사와 그에 기한 처분행위는 인정되지 않는다.",X,"사기죄에서 피기망자의 처분의사는 기망행위로 착오에 빠진 상태에서 형성된 하자 있는 의사이므로 불완전하거나 결함이 있을 수밖에 없다. 처분행위의 법적 의미나 경제적 효과 등에 대한 피기망자의 주관적 인식과 실제로 초래되는 결과가 일치하지 않는 것이 오히려 당연하고, 이 점이 사기죄의 본질적 속성이다. 따라서 처분의사는 착오에 빠진 피기망자가 어떤 행위를 한다는 인식이 있으면 충분하고, 그 행위가 가져오는 결과에 대한 인식까지 필요하다고 볼 것은 아니다(2016도13362)."
공무원 또는 중재인이 부정한 청탁을 받고 제3자에게 뇌물을 제공하게 하고 제3자가 그러한 공무원 또는 중재인의 범죄행위를 알면서 방조한 경우에는 그에 대한 별도의 처벌규정이 없더라도 방조범에 관한 형법총칙의 규정이 적용되어 제3자뇌물수수방조죄가 인정될 수 있다.,O,"제3자뇌물수수죄에서 제3자란 행위자와 공동정범 이외의 사람을 말하고, 교사자나 방조자도 포함될 수 있다. 그러므로 공무원 또는 중재인이 부정한 청탁을 받고 제3자에게 뇌물을 제공하게 하고 제3자가 그러한 공무원 또는 중재인의 범죄행위를 알면서 방조한 경우에는 그에 대한 별도의 처벌규정이 없더라도 방조범에 관한 형법총칙의 규정이 적용되어 제3자뇌물수수방조죄가 인정될 수 있다(2016도19659)."
"사법경찰관인 甲이 검사로부터 ‘교통사고 피해자들로부터 사고 경위에 대해 구체적인 진술을 청취하여 운전자 A의 도주 여부에 대해 재수사할 것’을 요청받고, 재수사 결과서의 ‘재수사 결과’란에 피해자들로부터 진술을 청취하지 않았음에도 진술을 듣고 그 진술내용을 적은 것처럼 기재한 경우, 피해자들 진술로 기재된 내용 중 일부가 결과적으로 사실과 부합하고 재수사 요청을 받은 사법경찰관이 검사에 의하여 지목된 참고인이나 피의자 등에 대한 재조사 여부와 재조사 방식 등에 대해 재량을 가지고 있다면 甲에게 허위공문서작성죄가 성립하지 않는다.",X,"피해자들 진술로 기재된 내용 중 일부가 결과적으로 사실과 부합하는지, 재수사 요청을 받은 사법경찰관이 검사에 의하여 지목된 참고인이나 피의자 등에 대한 재조사 여부와 재조사 방식 등에 대해 재량을 가지는지 등과 무관하게 피고인의 행위는 허위공문서작성죄를 구성하고, 그에 관한 범의도 인정된다(2022도6886)."
"전기통신금융사기 범행의 공범이 아닌 계좌명의인이 개설한 예금계좌가 그 범행에 이용되어 피해자가 그 계좌에 사기피해금을 송금·이체한 경우, 계좌명의인은 피해자를 위하여 사기피해금을 보관하는 지위에 있으므로 계좌명의인이 그 돈을 영득할 의사로 인출하면 피해자에 대한 횡령죄가 성립한다.",O,"cf. 이때 계좌명의인이 사기의 공범이라면 자신이 가담한 범행의 결과 피해금을 보관하게 된 것일 뿐이어서 피해자와 사이에 위탁관계가 없고, 그가 송금·이체된 돈을 인출하더라도 이는 자신이 저지른 사기범행의 실행행위에 지나지 아니하여 새로운 법익을 침해한다고 볼 수 없으므로 사기죄 외에 별도로 횡령죄를 구성하지 않는다(2017도21715)."
"甲이 피해자 A에게 자동차를 매도하겠다고 거짓말하고 자동차를 양도하면서 소유권이전등록에 필요한 일체의 서류를 교부한 후 매매대금을 수령한 다음, 자동차에 미리 부착해 놓은 지피에스(GPS)로 위치를 추적하여 그 자동차를 절취한 경우, 甲에게는 그 자동차를 양도한 후 다시 절취할 의사가 있었고 자동차의 소유권을 이전하여 줄 의사가 있었다고 볼 수 없으므로 사기죄가 성립한다.",X,"피고인이 갑 등에게 자동차를 인도하고 소유권이전등록에 필요한 일체의 서류를 교부함으로써 갑 등이 언제든지 자동차의 소유권이전등록을 마칠 수 있게 된 이상, 피고인이 자동차를 양도한 후 다시 절취할 의사를 가지고 있었더라도 자동차의 소유권을 이전하여 줄 의사가 없었다고 볼 수 없고, 피고인이 자동차를 매도할 당시 곧바로 다시 절취할 의사를 가지고 있으면서도 이를 숨긴 것을 기망이라고 할 수 없어, 결국 피고인이 자동차를 매도할 당시 기망행위가 없었으므로, 피고인에게 사기죄를 인정한 원심판결에 법리오해의 잘못이 있다(2015도17452)."
"A 언론사 논설주간으로서 사설 작성 방향에 관여하거나 경제분야에 관한 칼럼을 작성하는 등 언론계에서 상당한 영향력이 있다고 평가받는 甲이 B 기업의 대표이사인 乙로부터 우호적인 여론형성에 도움을 달라는 취지의 청탁과 함께 자신의 유럽여행 비용 약 4,000만 원을 지불받았다면 甲에게는 배임수재죄가 성립한다.",O,2020도1263
"甲이 친구 A와 함께 술집에서 술을 마시다가 서로 몸싸움을 하는 과정에서 A가 떨어뜨리고 간 휴대전화를 술집 주인으로부터 일행 A에게 전해달라는 의사로 건네받아 보관하던 중 A의 휴대전화를 임의로 사용한 경우, 甲은 A로부터 직접 위탁받은 것이 아니고 조리상 휴대전화를 보관하는 지위에 있다고도 볼 수 없으므로 횡령죄가 성립하지 않는다.",X,"피고인은 조리상 甲을 위하여 휴대전화를 보관하는 지위에 있으나, 甲의 휴대전화를 임의로 사용한 것만으로는 불법영득의사가 있었다고 단정하기 어렵다(2012도5346)."
"횡령죄에서 불법영득의사는 타인의 재물을 보관하는 자가 위탁의 취지에 반하여 권한 없이 그 재물을 자기의 소유인 것처럼 사실상 또는 법률상 처분하는 의사를 의미하므로, 보관자가 자기 또는 제3자의 이익을 위한 것이 아니라 그 소유자의 이익을 위하여 이를 처분한 경우에도 특별한 사정이 없는 한 불법영득의사를 인정할 수 있다.",X,"횡령죄에서 불법영득의사는 타인의 재물을 보관하는 자가 자기 또는 제3자의 이익을 꾀할 목적으로 위탁의 취지에 반하여 타인의 재물을 자기의 소유인 것처럼 권한 없이 스스로 처분하는 의사를 의미한다. 따라서 보관자가 자기 또는 제3자의 이익을 위하여 소유자의 이익에 반하여 재물을 처분한 경우에는 재물에 대한 불법영득의사를 인정할 수 있으나, 그와 달리 소유자의 이익을 위하여 재물을 처분한 경우에는 특별한 사정이 없는 한 그 재물에 대하여는 불법영득의사를 인정할 수 없다(2013도658)."
